Sujeito,Função,Norma (competência),Descrição,Previsão regimental,L.O.M.,CESP,CRFB1988
Vereador ,membro da Mesa,Tem competência para,"promulgar as leis quando o prefeito nao o fizer no prazo de 15 dias, nem o Presidente da mesa em igual prazo, observando-se a precedência de cargos ","360, §u; 368; 369",,,
Vereador ,Presidente,deve,"Declarar prejudicados os requerimentos de inclusão de projeto na pauta em regime de urgência, se não votados até o termino do Prolongamento do Expediente da sessão em que forem apresentados","167, §4",,,
Vereador ,Presidente da Comissão,deve,"definir o número de componentes das Comissões de Estudos, designando, para integrá-la, pelo menos 1 (um) membro titular de sua Comissão ","99, §1",,,
Vereador,1º Secretário,deve,"Assumir a plenitude das funções da Presidência da mesa  em caráter interino na ausência do 2º Vice-Presidente, até que se proceda à eleição do novo presidente ",7,,,
Vereador,1º Secretário,deve,"Assinar, lacrar e solicitar seja arquivada a ata da sessão secreta com os respectivos documentos",199,,,
Vereador,1º Secretário,deve,Dar prévio conhecimento (48 horas de antecedência) àqueles que deverão ocupar a Tribuna Popular,208,,,
Vereador,1º Secretário,deve,"Fazer publicar, na Imprensa Oficial, com pelo menos 48 (quarenta e oito) horas de antecedência, a instalação da Tribuna Popular, com a lista de inscritos convocados e respectivos temas a serem tratados",210,,,
Vereador,1º Secretário,deve,"Controlar o tempo de uso da palavra que dispõe o Vereador ocupante da tribuna, que começa a fluir no instante que que for dada a palavra, interrompendo-se a contagem quando o orador for interrompido de seu discurso, exceto apartes; e dar conhecimento ao Presidente",305,,,
Vereador,1º Secretário,deve,"Dar conhecimento do parecer conjunto das comissões sobre projeto de iniciativa popular aos cidadãos nomeados como responsáveis pela mesma, no prazo de dois dias após instruída a propositura",322,,,
Vereador,1º Secretário,deve,Dar conhecimento do resultado da deliberação do Plenário sobre projeto de iniciativa popular às entidades ou aos cidadãos responsáveis pela propositura,323,,,
Vereador,1º Secretário,deve,"proceder à chamada, nos casos previstos no Regimento Interno, assinando as respectivas folhas","26, I",,,
Vereador,1º Secretário,deve,ler todos os papéis sujeitos ao conhecimento ou à deliberação da Câmara,"26, II",,,
Vereador,1º Secretário,deve," determinar o recebimento e zelar pela guarda de proposições e papéis entregues à Mesa, para conhecimento e deliberação da Câmara","26, III",,,
